                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.032,                 2.1912,                 1.3415,                0.84236,                0.27329,                0.62741,                0.38785,                0.89814,                 2.3257,                 1.3803,                0.00032,                0.00032,                0.00032
                      2,                0.90856,                 1.3343,                 1.2662,                0.53134,                0.56336,                0.55793,                0.24648,                 1.1916,                 3.3721,                 1.7953,             0.00065347,             0.00065347,             0.00065347
                      3,                0.90228,                 1.2449,                 1.2348,                0.39056,                0.49689,                0.37079,                0.16078,                 1.5977,                 2.5955,                 2.2614,              0.0009802,              0.0009802,              0.0009802
                      4,                0.89338,                 1.1064,                 1.2358,                0.53788,                0.61491,                0.52672,                0.28546,                  1.409,                 1.9674,                 1.9878,              0.0013002,              0.0013002,              0.0013002
                      5,                 0.9121,                  1.088,                 1.2453,                0.41168,                 0.4868,                0.39601,                0.13306,                 1.7866,                 2.4915,                 2.6886,              0.0016135,              0.0016135,              0.0016135
                      6,                0.97031,                 1.0808,                  1.284,                0.24443,                0.47205,                0.21912,                0.08598,                 1.7809,                 2.9929,                 2.6416,               0.001901,               0.001901,               0.001901
                      7,                0.96729,                 1.0287,                 1.2848,                0.33005,                0.40994,                0.30131,                0.13102,                 1.8481,                  2.155,                 2.3009,              0.0018812,              0.0018812,              0.0018812
                      8,                0.98757,                 1.0879,                 1.2915,                0.37625,                0.49068,                0.38423,                0.19016,                 1.6303,                 2.1582,                 2.0323,              0.0018614,              0.0018614,              0.0018614
                      9,                0.97354,                 1.0484,                 1.2735,                0.43427,                0.57216,                0.41965,                0.20183,                 1.6141,                 2.2718,                 1.9945,              0.0018416,              0.0018416,              0.0018416
                     10,                0.91958,                0.95814,                 1.2458,                0.33874,                0.46772,                0.34645,                0.15513,                 1.5861,                 2.9451,                 2.0429,              0.0018218,              0.0018218,              0.0018218
                     11,                0.92152,                0.96685,                  1.236,                0.41485,                0.50311,                0.40051,                0.22949,                 1.3367,                 3.0316,                  1.771,               0.001802,               0.001802,               0.001802
                     12,                0.94159,                 1.0118,                 1.2475,                0.27627,                0.35328,                0.22593,                0.07756,                 2.1669,                 2.7505,                 2.3538,              0.0017822,              0.0017822,              0.0017822
                     13,                0.88939,                0.90146,                 1.2263,                0.71699,                0.67081,                 0.7064,                0.43392,                 1.1911,                 1.7641,                 1.5667,              0.0017624,              0.0017624,              0.0017624
                     14,                0.90463,                0.91979,                 1.2232,                0.47083,                0.54713,                0.39264,                0.28825,                  1.044,                 2.0863,                 1.4725,              0.0017426,              0.0017426,              0.0017426
                     15,                0.87075,                0.89429,                  1.207,                0.78638,                0.74534,                0.79276,                0.47886,                 1.2104,                 1.2162,                 1.5904,              0.0017228,              0.0017228,              0.0017228
