                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3783,                   2.21,                 1.4434,                0.76616,                 0.4393,                 0.6721,                0.41007,                 1.1735,                 1.9454,                 1.2847,                0.00038,                0.00038,                0.00038
                      2,                 1.3508,                 1.5305,                 1.4217,                0.53872,                0.44367,                0.48512,                0.24394,                 1.7338,                 2.8741,                  2.094,             0.00077228,             0.00077228,             0.00077228
                      3,                 1.4094,                 1.5083,                  1.441,                0.28143,                0.41341,                0.24523,                0.08425,                 2.1425,                 2.2391,                 2.1195,              0.0011566,              0.0011566,              0.0011566
                      4,                 1.3699,                 1.4128,                 1.4134,                 0.4993,                 0.3743,                0.39386,                0.16431,                 1.8966,                 2.3532,                 2.0678,              0.0015331,              0.0015331,              0.0015331
                      5,                 1.4084,                 1.4331,                 1.4593,                0.16677,                0.10615,                0.06776,                0.02741,                 2.8649,                 2.9379,                  2.879,              0.0019016,              0.0019016,              0.0019016
                      6,                 1.4146,                 1.3948,                 1.4272,                0.08388,                0.28492,                0.05486,                0.01795,                 2.6664,                 5.3194,                 3.4129,               0.001901,               0.001901,               0.001901
                      7,                 1.3869,                 1.3761,                 1.4192,                0.41104,                0.36872,                0.35684,                0.14159,                 2.2374,                 2.6656,                 2.6874,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.3992,                 1.3266,                 1.4029,                0.21826,                0.38547,                0.17396,                0.05725,                 2.2252,                  3.841,                 2.5403,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.3884,                 1.2937,                 1.4193,                0.37316,                0.44134,                0.35622,                0.17045,                 1.9559,                 3.0359,                 2.0992,              0.0018416,              0.0018416,              0.0018416
                     10,                  1.381,                 1.2484,                 1.4064,                0.17113,                0.38547,                0.13921,                0.05371,                  2.358,                 4.2448,                 2.7059,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.3306,                 1.1741,                 1.3647,                0.44108,                0.54669,                0.39533,                0.17724,                 1.8988,                 2.3102,                 1.9833,               0.001802,               0.001802,               0.001802
                     12,                 1.3343,                  1.215,                 1.3585,                0.48734,                0.62011,                0.51043,                 0.2637,                 1.5953,                 2.1972,                 1.6872,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.3243,                 1.1953,                 1.3516,                0.55394,                0.63128,                0.60164,                0.27833,                 1.7048,                 1.6705,                 1.8487,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.2657,                 1.1726,                 1.3199,                0.39796,                0.44134,                0.34723,                0.14739,                 2.5479,                 2.0417,                 2.9503,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.3062,                 1.1463,                 1.3503,                0.35475,                0.36857,                0.30485,                0.13533,                 2.2355,                 2.2017,                  2.255,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.2861,                 1.1467,                 1.3496,                0.62377,                0.68715,                0.69651,                0.36595,                  1.688,                 1.4222,                 1.8803,               0.001703,               0.001703,               0.001703
                     17,                 1.2315,                 1.0691,                 1.3025,                 0.6066,                0.74081,                0.68498,                0.39522,                  1.516,                 1.4501,                 1.6022,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.2204,                 1.0562,                 1.3069,                0.52751,                0.50838,                0.51422,                0.28095,                 1.8349,                 1.7871,                 2.1126,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.2413,                 1.0721,                 1.3151,                0.73238,                0.70391,                0.78395,                0.48081,                 1.3692,                 1.1286,                  1.404,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.1766,                 1.0128,                 1.2826,                0.42801,                0.53631,                0.46148,                0.26298,                 1.5681,                 1.6333,                 1.6896,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.1839,                 0.9783,                 1.2724,                0.64227,                0.68205,                0.72412,                0.41235,                 1.5374,                 1.3594,                 1.6138,               0.001604,               0.001604,               0.001604
                     22,                 1.2412,                 1.0413,                 1.3106,                0.58186,                0.72626,                0.68638,                0.39857,                 1.4578,                 1.3406,                 1.5321,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.2394,                 1.0074,                 1.2992,                0.67265,                0.81564,                0.79222,                0.48385,                 1.3312,                 1.1234,                 1.3761,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.1724,                0.96812,                 1.2622,                0.69373,                0.68332,                0.70146,                0.43815,                 1.4275,                 1.2403,                  1.506,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.1756,                0.99077,                 1.2807,                0.65926,                0.74302,                0.75368,                 0.4637,                 1.3459,                  1.063,                 1.3726,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.1909,                0.97233,                 1.2654,                 0.6918,                0.74302,                0.75517,                0.45599,                 1.3707,                 1.2723,                 1.3817,               0.001505,               0.001505,               0.001505
                     27,                 1.2115,                0.98117,                 1.2753,                0.67348,                0.81814,                0.81064,                0.50207,                 1.3131,                 1.0163,                 1.3416,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.1802,                 0.9735,                 1.2748,                 0.6573,                0.81006,                0.73508,                0.44707,                 1.3091,                 1.0468,                 1.3253,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.1639,                0.95411,                 1.2606,                0.68892,                0.77945,                 0.6624,                0.41082,                 1.2731,                 1.1744,                 1.3061,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.1486,                0.94377,                 1.2544,                0.67015,                0.82856,                0.78329,                0.51084,                 1.2184,                  1.059,                 1.2815,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.1623,                0.94053,                  1.259,                0.67606,                0.86592,                0.82052,                0.54536,                 1.2012,                 0.9826,                 1.2741,               0.001406,               0.001406,               0.001406
                     32,                 1.1346,                0.93739,                 1.2482,                0.77092,                0.77654,                0.79037,                0.49034,                 1.3941,                 1.0756,                 1.4699,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.1709,                0.93315,                 1.2596,                0.76136,                0.84358,                0.86785,                0.57285,                 1.2147,                0.86788,                 1.2661,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.1579,                0.91025,                 1.2335,                0.73026,                 0.7933,                0.82267,                 0.5619,                 1.1883,                0.99794,                 1.2361,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.1232,                 0.8967,                 1.2278,                0.78019,                0.70391,                0.77608,                0.50657,                 1.2443,                 1.0573,                 1.3085,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.1354,                0.88713,                 1.2302,                0.77991,                0.81564,                 0.8541,                  0.543,                 1.2342,                0.98272,                 1.2661,               0.001307,               0.001307,               0.001307
                     37,                 1.1141,                 0.8797,                 1.2327,                0.52804,                0.59777,                0.64495,                0.40858,                 1.3295,                 1.7525,                 1.3671,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.1245,                0.88678,                  1.227,                0.73917,                0.87151,                 0.8635,                0.56245,                 1.1772,                0.91004,                 1.2259,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.0925,                0.87982,                 1.2109,                0.67196,                0.84358,                0.81146,                0.51375,                 1.2328,                0.97389,                 1.2868,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.1041,                0.86832,                 1.2252,                0.78814,                0.83133,                 0.8684,                0.57871,                 1.1843,                0.85678,                  1.254,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.0755,                0.84505,                 1.2026,                0.68851,                0.82123,                0.80533,                0.54413,                 1.2066,                 0.9307,                 1.2736,               0.001208,               0.001208,               0.001208
                     42,                 1.0606,                0.84853,                 1.2097,                0.70985,                0.86104,                0.83886,                0.56365,                 1.1621,                0.90239,                 1.2119,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.0688,                0.83475,                 1.2031,                0.70838,                0.84137,                0.83751,                0.53991,                 1.2206,                 0.9249,                 1.2839,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.0618,                0.83837,                  1.204,                0.72083,                0.86034,                 0.8361,                0.57139,                 1.1115,                0.90779,                 1.2082,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.0633,                0.81666,                 1.1952,                0.79201,                0.79888,                0.87629,                0.58302,                 1.1522,                0.85024,                 1.2004,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.0766,                0.82299,                 1.2053,                0.76627,                0.81006,                0.85995,                0.59877,                 1.1139,                 0.8584,                 1.1885,               0.001109,               0.001109,               0.001109
                     47,                  1.077,                0.83382,                 1.2016,                0.68214,                0.81006,                0.80227,                0.49134,                 1.2914,                 1.0584,                 1.3295,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.0707,                0.81979,                  1.194,                0.69447,                0.85078,                0.84677,                0.57772,                 1.1495,                0.83123,                 1.2276,              0.0010694,              0.0010694,              0.0010694
                     49,                  1.041,                0.82134,                 1.1883,                0.71748,                0.85126,                 0.8584,                0.58756,                 1.1083,                0.81423,                 1.1735,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.0369,                0.78646,                 1.1847,                0.81509,                0.81564,                 0.8672,                0.59402,                 1.1356,                0.79808,                 1.2369,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.0367,                0.78039,                 1.1616,                0.75957,                0.84717,                0.85048,                 0.5559,                  1.194,                0.93125,                 1.2423,                0.00101,                0.00101,                0.00101
                     52,                 1.0276,                0.78513,                 1.1767,                 0.8116,                0.81006,                0.85768,                0.58426,                 1.1051,                0.86231,                 1.2012,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.0433,                0.79869,                 1.1979,                 0.7361,                0.84916,                0.82805,                0.56635,                  1.089,                0.86836,                 1.1843,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.0459,                0.77786,                 1.1906,                0.76487,                 0.7933,                 0.8375,                0.54811,                  1.178,                0.87359,                 1.2513,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.0091,                0.76848,                 1.1731,                0.82669,                 0.8261,                0.87398,                0.60744,                 1.0841,                0.80966,                  1.175,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.0062,                 0.7549,                 1.1698,                0.71736,                0.80447,                0.80314,                0.51288,                 1.2127,                 0.9275,                 1.2728,               0.000911,               0.000911,               0.000911
                     57,                 1.0285,                0.79102,                 1.1825,                0.77421,                0.84916,                0.86238,                0.57428,                 1.1664,                0.83568,                 1.2598,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.0202,                 0.7472,                 1.1764,                0.82232,                0.80151,                0.86761,                0.58985,                 1.1685,                0.82006,                  1.243,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.0268,                0.75257,                 1.1686,                 0.7678,                0.84973,                0.88462,                0.59589,                 1.2186,                0.78553,                 1.2626,              0.0008516,              0.0008516,              0.0008516
                     60,                0.98084,                0.76181,                  1.161,                0.77098,                0.83799,                0.85786,                0.58347,                 1.1687,                0.86452,                 1.2422,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.0108,                0.74883,                 1.1623,                 0.8029,                 0.8324,                0.86568,                0.59803,                 1.1245,                0.76367,                 1.1947,               0.000812,               0.000812,               0.000812
                     62,                 0.9707,                0.73166,                 1.1501,                0.82638,                0.79888,                0.87288,                0.58942,                 1.1381,                0.79089,                 1.2225,              0.0007922,              0.0007922,              0.0007922
                     63,                0.99317,                0.75018,                 1.1494,                 0.7719,                0.84916,                0.86605,                 0.5949,                 1.1277,                0.76208,                 1.1878,              0.0007724,              0.0007724,              0.0007724
                     64,                0.97904,                0.71635,                 1.1441,                0.77597,                0.82682,                0.89484,                 0.6024,                 1.1566,                0.81587,                 1.2044,              0.0007526,              0.0007526,              0.0007526
                     65,                 0.9858,                0.73304,                 1.1603,                0.80452,                 0.8324,                 0.8932,                0.62273,                 1.1228,                0.77679,                 1.1899,              0.0007328,              0.0007328,              0.0007328
                     66,                0.96848,                0.71702,                 1.1562,                 0.7812,                0.86034,                0.88436,                0.62851,                 1.0774,                0.79669,                 1.1604,               0.000713,               0.000713,               0.000713
                     67,                0.97048,                0.70495,                 1.1542,                 0.7729,                0.87151,                0.85842,                0.58956,                 1.1363,                0.82246,                 1.1805,              0.0006932,              0.0006932,              0.0006932
                     68,                0.95204,                0.69588,                 1.1327,                0.74976,                0.88827,                0.84678,                0.59014,                  1.117,                0.85988,                 1.1907,              0.0006734,              0.0006734,              0.0006734
                     69,                0.97611,                0.71792,                  1.143,                0.78333,                0.85475,                0.87448,                0.60442,                 1.1356,                0.79763,                 1.1984,              0.0006536,              0.0006536,              0.0006536
