                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97107,                 1.3572,                 1.3387,                0.51773,                0.57143,                0.49033,                0.27196,                 1.3766,                  4.733,                 1.8032,             0.00065217,             0.00065217,             0.00065217
                      2,                 1.0846,                 1.0963,                  1.405,                  0.188,                0.25917,                0.12084,                0.03758,                 2.5725,                 4.6767,                 2.9864,              0.0013058,              0.0013058,              0.0013058
                      3,                 1.0705,                 1.0559,                 1.3977,                0.06666,                0.03327,                0.01453,                0.00458,                 3.8248,                 4.6677,                 5.0657,              0.0019462,              0.0019462,              0.0019462
                      4,                 1.0853,                 1.0495,                 1.4045,                0.32821,                0.49429,                0.29533,                0.15709,                   1.58,                 4.0005,                 2.1436,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.0329,                0.99028,                 1.3741,                0.74627,                0.57534,                0.65287,                0.41524,                 1.4258,                 2.1235,                 1.9099,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.0098,                0.94947,                  1.356,                0.59617,                0.56914,                0.63294,                 0.3854,                 1.2968,                 1.4344,                 1.6215,              0.0019208,              0.0019208,              0.0019208
                      7,                0.96022,                0.90702,                 1.3294,                0.43631,                 0.3953,                  0.351,                0.18701,                 1.4777,                 2.6373,                 1.8065,               0.001901,               0.001901,               0.001901
                      8,                0.94799,                 0.8754,                 1.3063,                 0.8028,                0.68513,                0.77488,                0.53505,                 1.1424,                 1.4074,                 1.4583,              0.0018812,              0.0018812,              0.0018812
                      9,                0.90966,                0.82603,                 1.2858,                0.62632,                0.68885,                0.69338,                0.43583,                 1.3221,                 1.2881,                 1.5204,              0.0018614,              0.0018614,              0.0018614
                     10,                0.89116,                0.83385,                 1.2804,                0.54642,                0.69546,                0.63636,                 0.3762,                 1.2396,                 1.3108,                 1.5248,              0.0018416,              0.0018416,              0.0018416
                     11,                0.88088,                0.80856,                 1.2645,                0.77715,                 0.7182,                0.78979,                0.51382,                 1.0887,                0.96902,                 1.3895,              0.0018218,              0.0018218,              0.0018218
                     12,                0.85404,                0.77112,                  1.256,                0.76292,                0.74951,                0.80384,                0.51989,                  1.081,                 1.0725,                  1.363,               0.001802,               0.001802,               0.001802
                     13,                0.85353,                0.75096,                 1.2641,                0.80027,                0.69001,                0.80235,                0.53463,                 1.2589,                 1.0155,                 1.5495,              0.0017822,              0.0017822,              0.0017822
                     14,                0.83345,                0.74271,                  1.239,                0.65922,                0.69655,                0.68659,                0.42134,                 1.2157,                 1.2541,                 1.5103,              0.0017624,              0.0017624,              0.0017624
                     15,                0.81824,                 0.7349,                 1.2307,                0.75351,                0.73386,                   0.78,                0.50869,                 1.1263,                 1.0869,                 1.3783,              0.0017426,              0.0017426,              0.0017426
                     16,                0.82107,                0.72454,                 1.2325,                0.78335,                0.80431,                0.86226,                0.61086,                 1.0465,                 0.9596,                 1.3481,              0.0017228,              0.0017228,              0.0017228
                     17,                0.80262,                0.70111,                 1.2244,                0.80291,                0.79724,                0.84437,                0.60833,                  1.001,                0.89698,                 1.2938,               0.001703,               0.001703,               0.001703
                     18,                0.78099,                0.68986,                   1.21,                0.82244,                 0.6908,                0.82855,                0.62023,                0.98401,                0.93357,                 1.2904,              0.0016832,              0.0016832,              0.0016832
                     19,                0.80436,                0.71816,                 1.2289,                0.77763,                0.82119,                0.85651,                0.60523,                 1.0574,                0.82837,                 1.3332,              0.0016634,              0.0016634,              0.0016634
                     20,                0.78427,                0.68022,                 1.2131,                0.84371,                0.78865,                0.86948,                 0.6222,                  1.032,                0.82368,                 1.3125,              0.0016436,              0.0016436,              0.0016436
                     21,                0.77745,                0.64776,                 1.2035,                0.69973,                0.81996,                 0.8169,                0.58105,                 1.0749,                0.88414,                  1.331,              0.0016238,              0.0016238,              0.0016238
                     22,                0.76106,                0.65003,                 1.1953,                 0.8603,                0.82192,                0.90441,                0.65506,                 1.0155,                0.73657,                  1.307,               0.001604,               0.001604,               0.001604
                     23,                0.73676,                0.62398,                 1.1799,                0.84513,                 0.8454,                0.90176,                0.67758,                0.95719,                0.66371,                 1.2725,              0.0015842,              0.0015842,              0.0015842
                     24,                0.77443,                0.64881,                 1.1872,                0.78603,                0.82192,                0.86383,                0.64196,                 1.0002,                0.77246,                 1.2775,              0.0015644,              0.0015644,              0.0015644
                     25,                 0.7425,                0.63084,                 1.1799,                0.84139,                0.84149,                0.90895,                0.67562,                0.95595,                0.75426,                 1.2172,              0.0015446,              0.0015446,              0.0015446
                     26,                0.75004,                0.62079,                 1.1839,                0.78576,                0.85714,                0.89138,                0.65573,                0.93139,                0.76956,                 1.1977,              0.0015248,              0.0015248,              0.0015248
                     27,                0.70389,                0.59966,                 1.1608,                0.84756,                0.88845,                0.92156,                0.68821,                0.91164,                0.65132,                 1.2161,               0.001505,               0.001505,               0.001505
                     28,                0.72931,                 0.6167,                 1.1712,                0.86467,                0.84736,                0.90861,                0.68084,                0.91981,                0.69676,                 1.2255,              0.0014852,              0.0014852,              0.0014852
                     29,                0.76265,                0.62227,                 1.1868,                0.89318,                0.85714,                0.93558,                0.71952,                0.88642,                0.63641,                   1.17,              0.0014654,              0.0014654,              0.0014654
                     30,                0.71275,                0.59635,                 1.1594,                0.89043,                  0.818,                0.92124,                0.71268,                0.89473,                0.66926,                 1.1803,              0.0014456,              0.0014456,              0.0014456
                     31,                0.69726,                0.58158,                 1.1493,                0.86327,                0.85323,                 0.9147,                 0.7166,                0.89664,                0.68959,                 1.1854,              0.0014258,              0.0014258,              0.0014258
                     32,                0.69372,                0.57049,                 1.1459,                0.80204,                 0.8454,                0.87589,                0.68314,                0.88381,                0.72439,                 1.1779,               0.001406,               0.001406,               0.001406
                     33,                0.70181,                0.57371,                 1.1558,                0.92027,                0.81605,                0.91856,                0.70478,                0.85717,                0.68422,                  1.137,              0.0013862,              0.0013862,              0.0013862
                     34,                 0.7029,                0.56036,                 1.1559,                0.89183,                0.86888,                0.92941,                0.71904,                0.87467,                0.64507,                 1.1565,              0.0013664,              0.0013664,              0.0013664
