                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2636,                 2.7711,                 1.5836,                0.53751,                0.48039,                 0.4925,                0.31642,                 1.0419,                 3.2936,                 1.4932,                0.00014,                0.00014,                0.00014
                      2,                0.63285,                  1.152,                 1.1436,                0.92553,                0.85294,                0.92889,                0.79979,                0.49631,                 3.3169,                0.99072,             0.00029703,             0.00029703,             0.00029703
                      3,                0.58621,                0.87912,                 1.0774,                0.73948,                0.89216,                0.88385,                0.66976,                0.86611,                 4.9198,                  1.503,             0.00045089,             0.00045089,             0.00045089
                      4,                0.60419,                0.72247,                 1.0965,                 0.6155,                 0.5098,                0.54192,                0.29684,                 1.7331,                 4.6865,                 2.4094,             0.00060159,             0.00060159,             0.00060159
                      5,                0.62486,                0.76135,                 1.0789,                 0.3195,                0.65686,                0.38213,                0.11932,                 2.1235,                 7.4966,                 3.3485,             0.00074911,             0.00074911,             0.00074911
                      6,                0.69716,                 0.7724,                 1.1151,                0.31829,                0.58824,                0.34898,                0.09743,                 2.4025,                 8.6688,                  4.455,             0.00089347,             0.00089347,             0.00089347
                      7,                0.68279,                0.66232,                 1.1074,                0.60632,                0.55869,                0.59089,                 0.2399,                  1.954,                 1.8213,                 2.6737,              0.0010347,              0.0010347,              0.0010347
                      8,                0.60873,                0.63759,                 1.0742,                0.52204,                0.43906,                0.43222,                0.18297,                 2.0857,                 3.8946,                 2.6316,              0.0011727,              0.0011727,              0.0011727
                      9,                0.59732,                0.65159,                 1.0759,                0.08451,                0.21569,                0.07099,                0.01445,                 3.0428,                 4.2883,                 3.9267,              0.0013075,              0.0013075,              0.0013075
                     10,                0.62565,                0.62376,                 1.0739,                0.03877,                0.29412,                0.02386,                0.00986,                 2.2786,                 11.604,                 2.9156,              0.0014392,              0.0014392,              0.0014392
                     11,                0.60515,                0.60401,                 1.0606,                0.31985,                0.30392,                0.25323,                0.12048,                 2.0734,                 2.9543,                 2.5753,              0.0015677,              0.0015677,              0.0015677
                     12,                 0.6371,                0.61149,                  1.063,                 0.4826,                0.34314,                0.35053,                0.16665,                 2.0126,                 3.2356,                 2.4254,              0.0016931,              0.0016931,              0.0016931
                     13,                0.63422,                 0.5823,                 1.0754,                0.58087,                0.42121,                0.49607,                0.28566,                 1.4498,                 2.9296,                 1.7076,              0.0017624,              0.0017624,              0.0017624
                     14,                0.60591,                0.57284,                 1.0626,                0.30742,                0.36991,                0.25666,                0.08663,                 1.9823,                 2.7993,                  2.004,              0.0017624,              0.0017624,              0.0017624
                     15,                0.60138,                0.53988,                  1.062,                  0.288,                0.23003,                  0.194,                0.09845,                 2.3353,                 3.3307,                 2.2954,              0.0017426,              0.0017426,              0.0017426
                     16,                0.59665,                0.59471,                 1.0643,                0.09553,                0.09804,                0.04286,                0.01605,                  2.918,                 4.8198,                 3.0712,              0.0017228,              0.0017228,              0.0017228
                     17,                0.59045,                0.53848,                 1.0338,                0.19476,                0.48039,                 0.1938,                 0.0699,                 1.9461,                 2.9199,                 2.2044,               0.001703,               0.001703,               0.001703
                     18,                0.57568,                0.53715,                 1.0628,                0.29936,                0.51961,                0.35871,                0.14168,                 1.8368,                 2.5792,                 2.2779,              0.0016832,              0.0016832,              0.0016832
                     19,                0.58065,                0.52521,                 1.0674,                0.55291,                0.58824,                0.63377,                0.34346,                 1.3497,                 2.8324,                 1.7946,              0.0016634,              0.0016634,              0.0016634
                     20,                0.55641,                0.52305,                 1.0426,                0.49391,                0.48039,                0.46029,                0.21424,                 1.9476,                 2.8119,                  2.223,              0.0016436,              0.0016436,              0.0016436
                     21,                0.59134,                0.51625,                 1.0422,                 0.7272,                0.71569,                0.75787,                0.46071,                 1.1517,                 1.4208,                 1.5503,              0.0016238,              0.0016238,              0.0016238
                     22,                 0.5293,                0.47153,                 1.0223,                0.90262,                0.84314,                0.92747,                0.77779,                  0.721,                0.95616,                 1.1704,               0.001604,               0.001604,               0.001604
                     23,                0.52732,                0.47717,                 1.0284,                0.78167,                0.71569,                0.82761,                0.63384,                0.92832,                 1.0685,                 1.4039,              0.0015842,              0.0015842,              0.0015842
                     24,                0.54996,                0.46429,                 1.0348,                0.80917,                0.79412,                0.88886,                0.73078,                0.69878,                 1.0641,                 1.1492,              0.0015644,              0.0015644,              0.0015644
                     25,                0.52291,                0.45588,                 1.0471,                0.82337,                 0.7549,                0.84031,                0.65971,                0.91856,                 1.0431,                 1.3628,              0.0015446,              0.0015446,              0.0015446
                     26,                0.51244,                0.47355,                 1.0072,                0.92627,                0.88235,                0.93849,                0.78896,                 0.6176,                0.75608,                 1.0756,              0.0015248,              0.0015248,              0.0015248
                     27,                0.51648,                0.44174,                 1.0258,                0.83216,                0.92359,                0.89725,                0.75843,                 0.6233,                0.78804,                 1.0654,               0.001505,               0.001505,               0.001505
                     28,                0.49763,                0.40926,                 1.0034,                0.77455,                0.87574,                0.87284,                0.73141,                0.63487,                 1.1171,                 1.0804,              0.0014852,              0.0014852,              0.0014852
                     29,                0.48146,                0.43806,                0.99451,                0.86637,                0.82635,                0.90586,                0.75678,                0.64266,                0.83342,                 1.0689,              0.0014654,              0.0014654,              0.0014654
                     30,                0.53073,                 0.4284,                 1.0251,                0.89769,                0.84314,                0.93982,                0.79622,                0.61717,                0.67111,                 1.0702,              0.0014456,              0.0014456,              0.0014456
                     31,                0.48929,                0.42588,                0.99833,                0.89256,                0.88235,                0.94661,                0.78015,                 0.6858,                0.75226,                 1.0933,              0.0014258,              0.0014258,              0.0014258
                     32,                0.49476,                0.42222,                 1.0216,                0.91968,                0.85294,                0.95779,                0.80159,                0.64664,                0.66347,                 1.0511,               0.001406,               0.001406,               0.001406
                     33,                0.48664,                0.41926,                 1.0116,                0.88043,                0.90196,                0.94637,                0.79074,                0.61564,                0.71152,                 1.0357,              0.0013862,              0.0013862,              0.0013862
                     34,                0.43665,                0.37897,                0.98895,                0.91075,                0.86275,                0.92883,                0.79352,                0.60189,                0.68384,                 1.0017,              0.0013664,              0.0013664,              0.0013664
                     35,                0.48437,                0.38524,                 1.0062,                0.90767,                0.86748,                0.93856,                0.84315,                 0.5011,                  0.536,                0.93685,              0.0013466,              0.0013466,              0.0013466
                     36,                0.42713,                0.37381,                0.96869,                0.96286,                0.84314,                0.94026,                0.82227,                0.57043,                0.53613,                 1.0022,              0.0013268,              0.0013268,              0.0013268
                     37,                0.46025,                0.38385,                0.99776,                0.93873,                0.90131,                 0.9435,                0.84674,                0.57823,                 0.5106,                 1.0223,               0.001307,               0.001307,               0.001307
                     38,                0.44735,                0.38982,                 0.9864,                0.96655,                0.84995,                0.93627,                0.84285,                0.54814,                0.54452,                0.98438,              0.0012872,              0.0012872,              0.0012872
                     39,                0.44599,                0.41926,                0.99097,                0.93668,                0.87015,                 0.9468,                0.84532,                0.49304,                0.50085,                 0.9387,              0.0012674,              0.0012674,              0.0012674
                     40,                0.43328,                 0.3649,                0.98528,                0.93791,                0.92157,                0.94423,                0.85519,                0.57093,                0.50244,                 1.0059,              0.0012476,              0.0012476,              0.0012476
                     41,                0.42465,                 0.3704,                0.97303,                0.92675,                0.90196,                 0.9454,                0.84221,                0.55872,                0.52703,                 0.9936,              0.0012278,              0.0012278,              0.0012278
                     42,                0.44225,                0.36887,                0.98718,                0.95362,                0.90196,                0.96782,                0.87595,                0.51029,                0.45513,                0.95344,               0.001208,               0.001208,               0.001208
                     43,                0.42407,                0.35767,                0.97852,                  0.903,                0.90196,                0.95247,                0.84024,                0.53106,                0.51911,                0.97048,              0.0011882,              0.0011882,              0.0011882
                     44,                0.42086,                0.37216,                0.97312,                0.92862,                 0.8928,                0.96798,                 0.8518,                0.51072,                0.49286,                0.94835,              0.0011684,              0.0011684,              0.0011684
                     45,                0.43274,                0.40783,                0.98827,                 0.9702,                0.87255,                0.95268,                0.84863,                 0.5444,                 0.5601,                0.97583,              0.0011486,              0.0011486,              0.0011486
                     46,                0.43023,                 0.3925,                0.99782,                0.93991,                0.92018,                0.95476,                0.86073,                0.49597,                0.47938,                0.93113,              0.0011288,              0.0011288,              0.0011288
                     47,                 0.4304,                0.34866,                0.98307,                0.90885,                0.91176,                0.96336,                0.86995,                0.46867,                0.52669,                0.92126,               0.001109,               0.001109,               0.001109
                     48,                0.43477,                0.39023,                0.99642,                  0.912,                0.92157,                0.95491,                0.85463,                0.53262,                  0.489,                0.98644,              0.0010892,              0.0010892,              0.0010892
                     49,                0.41492,                0.35486,                0.96461,                0.90403,                0.92355,                0.95133,                 0.8547,                0.53328,                0.51677,                0.97682,              0.0010694,              0.0010694,              0.0010694
                     50,                0.43158,                0.36897,                0.99793,                0.90586,                0.87255,                0.92478,                0.82388,                0.51879,                0.57346,                0.97874,              0.0010496,              0.0010496,              0.0010496
                     51,                0.39825,                0.32878,                0.96358,                 0.9205,                0.83333,                0.92795,                0.78494,                0.63497,                0.63368,                 1.0593,              0.0010298,              0.0010298,              0.0010298
                     52,                0.41704,                0.36346,                0.97795,                0.86541,                0.94118,                0.95611,                0.83004,                0.56531,                0.53801,                0.98977,                0.00101,                0.00101,                0.00101
                     53,                0.38337,                0.32605,                0.95868,                0.97153,                0.85294,                0.95399,                 0.8279,                0.60304,                0.55423,                 1.0087,              0.0009902,              0.0009902,              0.0009902
                     54,                0.42223,                 0.3515,                0.97176,                0.95834,                0.81373,                0.93053,                0.83559,                0.55006,                0.57735,                0.99386,              0.0009704,              0.0009704,              0.0009704
                     55,                0.42995,                0.35146,                  0.994,                0.97721,                0.84074,                0.94804,                0.86756,                0.48674,                0.48889,                0.95748,              0.0009506,              0.0009506,              0.0009506
                     56,                0.40166,                0.33064,                0.97179,                0.93143,                0.88235,                0.95826,                0.86455,                0.48375,                0.46413,                0.93688,              0.0009308,              0.0009308,              0.0009308
                     57,                0.40482,                0.34075,                0.96232,                0.87544,                0.91176,                0.95413,                0.87337,                 0.4616,                0.50531,                 0.9254,               0.000911,               0.000911,               0.000911
                     58,                 0.3806,                0.34043,                0.98182,                0.89299,                0.89994,                0.95546,                0.87958,                0.45986,                0.48519,                 0.9195,              0.0008912,              0.0008912,              0.0008912
                     59,                0.38305,                0.31913,                0.95752,                0.88837,                0.93624,                0.96792,                0.88945,                0.44084,                 0.4482,                0.89355,              0.0008714,              0.0008714,              0.0008714
                     60,                 0.3765,                0.33116,                0.96827,                0.91976,                0.89908,                0.97146,                0.88777,                0.46254,                0.42766,                0.91169,              0.0008516,              0.0008516,              0.0008516
                     61,                0.37949,                0.31669,                0.96954,                0.94054,                0.93054,                0.96579,                0.89548,                0.45369,                0.45595,                0.90293,              0.0008318,              0.0008318,              0.0008318
                     62,                0.38083,                0.30532,                0.95932,                0.93099,                0.92582,                0.94378,                 0.8704,                0.47005,                0.45728,                0.92476,               0.000812,               0.000812,               0.000812
                     63,                 0.3785,                0.30638,                0.95357,                0.96573,                0.89216,                0.93782,                0.84989,                0.50496,                0.46956,                0.95381,              0.0007922,              0.0007922,              0.0007922
                     64,                0.36304,                0.33149,                0.96874,                0.94476,                0.89216,                 0.9526,                0.86175,                0.50347,                0.42886,                0.96497,              0.0007724,              0.0007724,              0.0007724
                     65,                0.35848,                0.32028,                0.94345,                0.95941,                0.92686,                0.96383,                0.88209,                0.44909,                0.42534,                0.90675,              0.0007526,              0.0007526,              0.0007526
                     66,                0.34996,                0.29139,                0.94598,                0.95776,                0.94118,                0.96317,                0.88253,                0.45319,                0.43381,                0.91743,              0.0007328,              0.0007328,              0.0007328
                     67,                 0.3401,                0.30451,                0.93104,                0.96773,                0.92157,                0.96497,                0.88229,                0.48001,                0.46451,                0.94173,               0.000713,               0.000713,               0.000713
                     68,                0.35844,                0.31401,                0.94024,                0.93017,                0.90196,                0.95668,                0.87951,                0.48026,                0.49697,                0.93748,              0.0006932,              0.0006932,              0.0006932
