                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.43182,                0.38787,                0.99134,                0.99722,                0.82353,                 0.9553,                0.82474,                0.64223,                0.56415,                 1.0806,               0.001307,               0.001307,               0.001307
                     37,                0.45474,                0.43899,                 1.0005,                0.96535,                0.83333,                0.92407,                0.77158,                0.63826,                0.64709,                  1.112,              0.0012872,              0.0012872,              0.0012872
                     38,                0.47374,                0.41233,                0.98449,                0.94784,                0.89079,                0.95243,                0.81984,                 0.5989,                0.48604,                 1.0553,              0.0012674,              0.0012674,              0.0012674
                     39,                0.42201,                0.39225,                0.96516,                0.93738,                0.87255,                0.96241,                0.82003,                0.59601,                0.53695,                 1.0759,              0.0012476,              0.0012476,              0.0012476
                     40,                 0.4443,                0.40261,                0.98092,                0.94892,                0.91058,                0.95967,                0.83351,                0.55221,                0.50153,                0.99629,              0.0012278,              0.0012278,              0.0012278
                     41,                0.38716,                 0.3712,                0.97157,                0.90442,                0.91176,                0.96515,                0.83661,                0.51393,                0.49532,                0.97079,               0.001208,               0.001208,               0.001208
                     42,                 0.4146,                0.35897,                0.97156,                0.95866,                0.90935,                0.95767,                0.86356,                0.47343,                 0.4892,                0.93559,              0.0011882,              0.0011882,              0.0011882
                     43,                0.42833,                0.36649,                0.96277,                0.95861,                0.90831,                0.97503,                0.86914,                0.49267,                0.44702,                0.92458,              0.0011684,              0.0011684,              0.0011684
                     44,                0.42184,                0.38232,                0.97625,                0.94047,                0.92936,                0.96294,                 0.8367,                0.55994,                0.49841,                0.99913,              0.0011486,              0.0011486,              0.0011486
                     45,                0.45931,                0.37739,                0.98868,                0.95609,                0.94118,                0.97839,                 0.8621,                0.49311,                0.46212,                0.95629,              0.0011288,              0.0011288,              0.0011288
                     46,                0.42117,                0.38508,                0.97911,                0.96832,                0.89898,                0.95352,                0.84506,                0.47407,                0.46184,                0.94538,               0.001109,               0.001109,               0.001109
                     47,                0.40676,                0.35926,                0.96801,                  0.899,                0.92157,                0.95634,                0.85803,                0.46737,                0.54252,                0.94021,              0.0010892,              0.0010892,              0.0010892
                     48,                0.40093,                0.34965,                0.96456,                0.88567,                0.94118,                0.94778,                0.83967,                0.48409,                 0.5219,                0.98055,              0.0010694,              0.0010694,              0.0010694
                     49,                0.40778,                0.36698,                0.97866,                0.85072,                0.92157,                0.93677,                0.82833,                0.52268,                0.52419,                0.99527,              0.0010496,              0.0010496,              0.0010496
                     50,                0.38849,                0.35901,                0.94925,                0.93613,                0.86217,                0.94078,                0.83241,                0.51127,                0.55989,                0.96206,              0.0010298,              0.0010298,              0.0010298
                     51,                0.42456,                0.37286,                0.97357,                0.93238,                0.84314,                0.92191,                0.83425,                0.46474,                0.54883,                0.92006,                0.00101,                0.00101,                0.00101
                     52,                0.39869,                 0.3408,                0.95539,                0.95445,                0.88235,                0.96698,                 0.8847,                 0.4266,                0.39662,                0.88634,              0.0009902,              0.0009902,              0.0009902
