                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95494,                 1.6365,                 1.3437,                 0.5401,                0.64811,                0.47559,                0.25915,                 1.3497,                 2.1021,                 1.8078,             0.00065217,             0.00065217,             0.00065217
                      2,                 1.0139,                 1.1565,                 1.3597,                0.41759,                0.55986,                0.36521,                0.16722,                 1.7329,                 2.0825,                 2.3295,              0.0013058,              0.0013058,              0.0013058
                      3,                 1.0133,                  1.078,                 1.3697,                0.73687,                0.58513,                0.64985,                0.33342,                 1.6317,                 2.0246,                 2.1857,              0.0019462,              0.0019462,              0.0019462
                      4,                 1.0285,                 1.0569,                 1.3696,                0.43219,                0.56305,                0.42985,                0.18714,                 1.6962,                 2.2264,                  2.113,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.0193,                 1.0242,                 1.3559,                0.63973,                0.59074,                0.59913,                0.35221,                  1.538,                  1.597,                 1.8807,              0.0019208,              0.0019208,              0.0019208
                      6,                0.93876,                0.92036,                 1.3017,                0.71549,                0.66145,                0.64688,                0.40215,                 1.3317,                 1.3275,                 1.9636,               0.001901,               0.001901,               0.001901
                      7,                0.95082,                0.90421,                 1.3137,                0.50891,                0.56377,                0.49227,                0.29474,                 1.2204,                 2.0911,                 1.5191,              0.0018812,              0.0018812,              0.0018812
                      8,                0.90971,                0.87146,                 1.2836,                0.74086,                0.74168,                0.77035,                 0.5004,                 1.1046,                 1.1511,                 1.4025,              0.0018614,              0.0018614,              0.0018614
                      9,                0.89156,                0.82765,                 1.2778,                0.67992,                0.71501,                0.69461,                0.45392,                 1.1086,                 1.1408,                 1.4524,              0.0018416,              0.0018416,              0.0018416
                     10,                0.88247,                0.81449,                 1.2679,                0.80619,                0.73973,                0.79421,                 0.5472,                 1.1654,                 1.0005,                 1.5404,              0.0018218,              0.0018218,              0.0018218
                     11,                0.82432,                0.77791,                  1.233,                0.68419,                0.64384,                0.69361,                0.42911,                  1.322,                 1.1578,                 1.5746,               0.001802,               0.001802,               0.001802
                     12,                0.83812,                0.77114,                 1.2382,                0.82889,                0.81018,                0.86161,                0.60009,                 1.0642,                0.88259,                 1.3717,              0.0017822,              0.0017822,              0.0017822
                     13,                0.81439,                0.74035,                 1.2377,                0.81538,                0.81241,                0.87335,                0.65064,                0.97332,                0.79335,                 1.2937,              0.0017624,              0.0017624,              0.0017624
                     14,                 0.8012,                0.72116,                 1.2288,                0.83797,                0.73386,                0.84318,                 0.6217,                 1.0004,                0.86687,                 1.3372,              0.0017426,              0.0017426,              0.0017426
                     15,                0.80386,                0.72499,                 1.2236,                0.76742,                0.74364,                0.79898,                0.53329,                 1.1451,                0.96263,                 1.4115,              0.0017228,              0.0017228,              0.0017228
                     16,                0.78466,                0.71313,                 1.2131,                0.82372,                 0.8047,                0.88905,                0.66199,                0.97381,                0.80527,                 1.2578,               0.001703,               0.001703,               0.001703
                     17,                0.78161,                0.69201,                 1.2068,                0.81139,                0.78293,                0.87199,                0.63254,                  1.002,                0.87079,                 1.3099,              0.0016832,              0.0016832,              0.0016832
                     18,                 0.7815,                0.69215,                 1.2036,                0.71515,                0.76125,                0.78967,                0.52478,                 1.0501,                 1.0549,                 1.3196,              0.0016634,              0.0016634,              0.0016634
                     19,                0.77253,                0.67989,                    1.2,                0.79187,                0.81901,                0.85842,                0.62908,                0.97893,                0.81887,                 1.2958,              0.0016436,              0.0016436,              0.0016436
                     20,                0.77194,                0.66524,                 1.2003,                0.85513,                0.76908,                0.86771,                0.63242,                 1.0122,                0.79855,                  1.303,              0.0016238,              0.0016238,              0.0016238
                     21,                0.75434,                0.65778,                 1.1856,                0.84588,                0.84149,                 0.9115,                0.66652,                0.94132,                0.72619,                 1.2245,               0.001604,               0.001604,               0.001604
                     22,                 0.7371,                0.64257,                 1.1809,                0.87817,                0.81814,                0.88922,                0.65793,                 1.0015,                0.79675,                 1.3303,              0.0015842,              0.0015842,              0.0015842
                     23,                0.73673,                0.62818,                 1.1748,                0.83465,                0.85714,                0.90426,                0.67796,                0.90613,                0.73988,                 1.2045,              0.0015644,              0.0015644,              0.0015644
                     24,                0.72716,                0.63548,                 1.1658,                0.77265,                 0.7319,                0.81448,                0.58146,                0.96126,                0.94276,                 1.2669,              0.0015446,              0.0015446,              0.0015446
                     25,                0.72711,                0.64128,                 1.1771,                0.85495,                0.81893,                 0.8998,                0.68167,                0.93729,                0.73547,                  1.205,              0.0015248,              0.0015248,              0.0015248
                     26,                0.73373,                0.62335,                 1.1779,                0.85283,                0.86497,                0.92513,                0.71841,                0.83105,                0.69884,                 1.1406,               0.001505,               0.001505,               0.001505
                     27,                0.70194,                0.58514,                 1.1633,                0.84045,                0.78474,                0.84808,                0.63476,                 1.0029,                 0.8388,                 1.3241,              0.0014852,              0.0014852,              0.0014852
                     28,                0.72564,                0.59905,                 1.1687,                 0.8403,                0.85466,                0.86907,                0.63637,                0.93214,                0.72219,                 1.2258,              0.0014654,              0.0014654,              0.0014654
                     29,                 0.7278,                0.60455,                 1.1702,                0.81029,                0.87767,                0.91442,                0.65197,                0.98491,                0.74204,                 1.2352,              0.0014456,              0.0014456,              0.0014456
                     30,                0.70221,                0.58132,                 1.1555,                0.84686,                0.83953,                0.90182,                 0.6902,                0.89853,                0.74124,                 1.1961,              0.0014258,              0.0014258,              0.0014258
                     31,                0.71093,                0.57964,                 1.1584,                0.82543,                0.85132,                0.89387,                0.69368,                 0.8487,                0.70353,                 1.1546,               0.001406,               0.001406,               0.001406
                     32,                0.71215,                0.57631,                 1.1615,                0.88273,                 0.8396,                0.93711,                0.71686,                0.87148,                0.65079,                 1.1522,              0.0013862,              0.0013862,              0.0013862
                     33,                0.68468,                0.55841,                 1.1397,                0.78438,                0.86301,                0.86616,                0.63969,                0.95836,                0.79293,                 1.2626,              0.0013664,              0.0013664,              0.0013664
                     34,                0.68748,                0.57153,                 1.1488,                0.85972,                0.86693,                0.90859,                  0.697,                 0.8557,                0.70405,                  1.145,              0.0013466,              0.0013466,              0.0013466
                     35,                0.69529,                0.56817,                   1.15,                0.88282,                 0.8865,                0.92719,                0.72928,                0.82213,                0.60459,                 1.1166,              0.0013268,              0.0013268,              0.0013268
                     36,                0.69932,                0.58465,                 1.1518,                0.86219,                0.83953,                0.90161,                0.67128,                0.88295,                0.75802,                  1.179,               0.001307,               0.001307,               0.001307
                     37,                0.67965,                0.56795,                 1.1362,                0.88496,                0.87084,                0.92922,                0.72418,                0.84396,                0.63899,                 1.1309,              0.0012872,              0.0012872,              0.0012872
                     38,                0.66718,                0.54924,                 1.1329,                0.90187,                0.82192,                0.90372,                 0.6979,                0.86481,                 0.6379,                 1.1682,              0.0012674,              0.0012674,              0.0012674
                     39,                0.66592,                0.54718,                 1.1334,                0.82634,                0.88463,                0.92098,                0.70318,                0.84713,                0.64162,                  1.135,              0.0012476,              0.0012476,              0.0012476
                     40,                0.65845,                0.53494,                 1.1193,                0.85611,                   0.85,                0.90992,                 0.6941,                0.86567,                0.67308,                 1.1699,              0.0012278,              0.0012278,              0.0012278
                     41,                0.66384,                0.53865,                 1.1314,                0.86605,                  0.873,                0.92416,                0.70544,                0.85299,                0.64315,                 1.1185,               0.001208,               0.001208,               0.001208
                     42,                0.66151,                0.53979,                  1.127,                 0.8604,                0.80813,                0.89551,                0.69195,                 0.8405,                0.71223,                 1.1255,              0.0011882,              0.0011882,              0.0011882
                     43,                0.63291,                0.51198,                 1.1188,                0.89606,                0.88258,                0.92264,                0.71422,                 0.8312,                0.62629,                 1.1542,              0.0011684,              0.0011684,              0.0011684
                     44,                0.66047,                   0.52,                 1.1221,                0.89628,                0.87671,                0.93983,                0.74632,                0.79181,                0.62277,                 1.0712,              0.0011486,              0.0011486,              0.0011486
                     45,                0.65173,                0.51557,                 1.1273,                0.86155,                0.87476,                0.92621,                0.72215,                0.83932,                0.64945,                  1.119,              0.0011288,              0.0011288,              0.0011288
                     46,                0.62545,                0.50023,                 1.1109,                0.85767,                0.90798,                0.94158,                0.75788,                0.76499,                 0.6109,                  1.035,               0.001109,               0.001109,               0.001109
                     47,                0.64473,                0.51058,                 1.1131,                0.88484,                0.88711,                0.93909,                0.74343,                0.81593,                0.65834,                 1.1122,              0.0010892,              0.0010892,              0.0010892
                     48,                0.62629,                0.50539,                 1.1185,                0.91693,                0.87671,                0.95149,                0.74928,                0.78594,                0.56964,                 1.0907,              0.0010694,              0.0010694,              0.0010694
                     49,                0.62441,                0.49838,                 1.1074,                 0.8728,                 0.9002,                0.91201,                0.71754,                0.82288,                0.62137,                 1.1145,              0.0010496,              0.0010496,              0.0010496
                     50,                0.61446,                0.47656,                 1.1033,                0.85923,                0.89237,                0.92603,                 0.7397,                0.76592,                0.60143,                 1.0489,              0.0010298,              0.0010298,              0.0010298
                     51,                0.62348,                0.48809,                 1.1054,                0.90712,                0.88258,                0.93669,                 0.7637,                0.76694,                 0.5851,                 1.0605,                0.00101,                0.00101,                0.00101
                     52,                0.60749,                 0.4787,                 1.0965,                0.88441,                0.89839,                0.94205,                0.74946,                0.79921,                0.55763,                 1.0831,              0.0009902,              0.0009902,              0.0009902
                     53,                0.61339,                 0.4812,                 1.0985,                 0.8982,                 0.9002,                0.93885,                0.75695,                0.79265,                0.58728,                 1.0754,              0.0009704,              0.0009704,              0.0009704
                     54,                0.61131,                0.47364,                 1.0985,                0.90707,                0.85955,                0.92693,                0.72698,                0.79725,                 0.6089,                 1.0912,              0.0009506,              0.0009506,              0.0009506
                     55,                0.61012,                0.49489,                  1.096,                0.88167,                0.87476,                0.93121,                0.76499,                0.79972,                0.59924,                 1.1076,              0.0009308,              0.0009308,              0.0009308
                     56,                0.59671,                0.46547,                 1.0924,                0.90702,                0.87815,                0.93338,                0.75168,                0.80547,                0.58685,                 1.0987,               0.000911,               0.000911,               0.000911
                     57,                0.60639,                0.45885,                 1.0978,                0.83256,                0.90495,                0.89553,                0.70305,                 0.8405,                0.67067,                 1.1111,              0.0008912,              0.0008912,              0.0008912
                     58,                0.58316,                0.44805,                 1.0836,                0.91771,                0.87084,                0.93963,                0.74492,                0.81368,                0.57272,                 1.0861,              0.0008714,              0.0008714,              0.0008714
                     59,                0.60352,                0.48068,                 1.0868,                0.91333,                0.88673,                0.94824,                0.76056,                0.76838,                0.57934,                 1.0665,              0.0008516,              0.0008516,              0.0008516
                     60,                 0.5786,                0.46369,                 1.0826,                0.90848,                 0.8865,                0.93935,                0.76389,                0.72963,                 0.5475,                 1.0439,              0.0008318,              0.0008318,              0.0008318
                     61,                0.57793,                0.45033,                 1.0746,                0.91785,                0.88845,                0.94681,                0.77329,                0.75314,                0.56307,                 1.0618,               0.000812,               0.000812,               0.000812
                     62,                0.58043,                0.45371,                 1.0881,                0.90063,                0.90455,                 0.9515,                0.78726,                0.72453,                0.51267,                 1.0243,              0.0007922,              0.0007922,              0.0007922
                     63,                0.56919,                0.44185,                 1.0761,                 0.9193,                0.89824,                0.95088,                0.78621,                0.72713,                0.53101,                 1.0205,              0.0007724,              0.0007724,              0.0007724
                     64,                0.58633,                0.44282,                 1.0878,                0.93955,                0.87084,                0.94675,                0.76138,                0.76146,                0.56155,                 1.0503,              0.0007526,              0.0007526,              0.0007526
                     65,                0.57172,                0.45406,                 1.0771,                0.92823,                0.86888,                0.93742,                0.76728,                0.74373,                0.56901,                 1.0263,              0.0007328,              0.0007328,              0.0007328
                     66,                0.57371,                0.44229,                 1.0848,                0.92348,                0.90998,                0.95479,                0.78059,                0.73277,                0.49276,                 1.0201,               0.000713,               0.000713,               0.000713
                     67,                0.55188,                0.42259,                 1.0725,                0.90757,                0.92236,                0.95317,                0.78449,                0.75758,                 0.5083,                  1.043,              0.0006932,              0.0006932,              0.0006932
                     68,                0.57497,                0.43575,                 1.0717,                 0.9113,                 0.9048,                0.95572,                0.79246,                0.74711,                0.50318,                 1.0241,              0.0006734,              0.0006734,              0.0006734
                     69,                0.56449,                0.42581,                 1.0707,                0.90354,                0.90998,                0.95553,                 0.7796,                0.74476,                0.52708,                 1.0417,              0.0006536,              0.0006536,              0.0006536
                     70,                0.57384,                0.42585,                 1.0669,                0.92047,                0.90601,                0.94697,                0.78008,                 0.7303,                0.51007,                 1.0093,              0.0006338,              0.0006338,              0.0006338
                     71,                0.56562,                0.42851,                 1.0704,                 0.9306,                0.89224,                  0.961,                0.78839,                0.79389,                0.50826,                 1.0842,               0.000614,               0.000614,               0.000614
                     72,                0.53485,                0.41133,                 1.0572,                0.92688,                0.90215,                0.96039,                0.76897,                0.76014,                0.53513,                 1.0474,              0.0005942,              0.0005942,              0.0005942
