                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5385,                  2.269,                 1.5573,                0.52295,                 0.3948,                0.42926,                0.19624,                 1.5007,                 2.1948,                 1.6139,                0.00054,                0.00054,                0.00054
                      2,                 1.4513,                 1.7978,                 1.5529,                0.38637,                0.19923,                0.22561,                 0.1125,                 2.0183,                 2.9814,                 2.6895,              0.0010891,              0.0010891,              0.0010891
                      3,                 1.4984,                 1.7676,                 1.6005,                0.12487,                0.29502,                0.11936,                0.03877,                 1.9963,                 11.896,                 3.0214,              0.0016271,              0.0016271,              0.0016271
                      4,                 1.5189,                 1.7597,                 1.6076,                0.01488,                0.36398,                0.01018,                0.00267,                 3.2271,                 73.712,                 4.6133,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.5202,                 1.7341,                 1.6129,                0.11749,                0.22989,                0.06967,                  0.025,                 2.8012,                 11.782,                 3.4298,              0.0019208,              0.0019208,              0.0019208
                      6,                  1.483,                 1.6791,                 1.5922,                 0.3601,                0.35249,                0.27834,                0.13646,                 2.0146,                 3.0106,                 2.5193,               0.001901,               0.001901,               0.001901
                      7,                 1.4413,                 1.6486,                 1.5849,                0.41218,                0.29885,                0.24665,                0.10838,                  1.997,                 2.9215,                 2.2661,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.3447,                 1.5111,                 1.4954,                0.36716,                0.31418,                0.26454,                0.11346,                  2.031,                 4.5618,                  2.121,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.3801,                 1.5247,                 1.5264,                0.20127,                 0.1954,                0.09421,                0.04097,                 2.5654,                 3.2163,                  2.639,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.3403,                 1.4834,                 1.4882,                0.58972,                0.37165,                0.39511,                0.24725,                 1.7112,                 2.1301,                 1.8336,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.3136,                 1.4562,                 1.4807,                0.60236,                0.36398,                0.42844,                0.27068,                 1.5319,                  1.905,                 1.7023,               0.001802,               0.001802,               0.001802
                     12,                 1.2993,                 1.4346,                 1.4768,                0.62224,                0.64372,                0.66192,                0.41519,                  1.261,                 1.3182,                 1.3876,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.2873,                 1.4284,                 1.4646,                0.64048,                0.53241,                0.57581,                0.38659,                 1.2627,                 1.3232,                 1.4458,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.2474,                 1.3497,                 1.4198,                0.77363,                0.38697,                0.52235,                0.36204,                 1.2354,                 1.5295,                 1.3989,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.2662,                 1.3782,                 1.4296,                0.66011,                0.58621,                0.66719,                0.39589,                 1.3477,                  1.295,                 1.4752,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.2652,                 1.3784,                  1.451,                0.64787,                  0.571,                0.64799,                0.38533,                 1.3114,                  1.646,                 1.4933,               0.001703,               0.001703,               0.001703
                     17,                  1.251,                 1.3998,                 1.4641,                0.64099,                0.59004,                0.65607,                0.43511,                 1.2377,                 1.2084,                 1.3621,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.2344,                 1.3446,                 1.4333,                0.64793,                  0.659,                0.69976,                0.47679,                  1.106,                 1.1952,                 1.3232,              0.0016634,              0.0016634,              0.0016634
                     19,                  1.195,                 1.3234,                 1.4014,                0.67039,                 0.5364,                0.58986,                0.34388,                 1.3735,                 1.8587,                 1.5498,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.1895,                 1.2941,                 1.4068,                0.72088,                0.61353,                0.69739,                0.47446,                 1.1067,                 1.0739,                 1.2757,              0.0016238,              0.0016238,              0.0016238
