                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4204,                 2.3942,                 1.4075,                0.00263,                0.67832,                0.19684,                  0.105,                 2.2465,                 3.1415,                 2.1774,                0.00046,                0.00046,                0.00046
                      2,                 1.4377,                 1.8987,                 1.3799,                0.30171,                0.16084,                 0.1253,                0.06577,                 2.6304,                  2.936,                 2.5798,             0.00093069,             0.00093069,             0.00093069
                      3,                 1.4565,                 1.8582,                 1.4324,                 0.3558,                0.38462,                 0.3066,                 0.1764,                 1.7388,                 2.3477,                 1.8542,              0.0013919,              0.0013919,              0.0013919
                      4,                 1.5162,                 1.8421,                 1.4444,                0.32082,                0.22378,                0.16442,                 0.0748,                 2.1846,                  3.105,                 2.4984,              0.0018436,              0.0018436,              0.0018436
                      5,                   1.56,                 1.7983,                 1.4594,                0.31767,                 0.1921,                0.17212,                 0.0755,                 2.3002,                 4.8772,                 2.5107,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.5339,                 1.7305,                 1.4596,                 0.0419,                0.08392,                0.01506,                0.00534,                 2.9903,                 6.4906,                 2.7841,               0.001901,               0.001901,               0.001901
                      7,                 1.4783,                 1.6355,                  1.425,                  0.205,                0.26573,                0.14016,                0.04898,                 2.4036,                 3.0938,                 2.3396,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.4631,                 1.5418,                 1.3973,                0.47084,                0.39161,                0.38787,                0.21811,                 1.6638,                 5.3814,                 1.8299,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.4078,                 1.4852,                 1.3576,                0.31711,                0.36369,                0.30658,                0.18106,                 1.8435,                 2.5801,                 1.8441,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.3741,                 1.4581,                 1.3629,                0.59599,                0.42657,                0.49826,                0.31059,                 1.5046,                 2.3318,                 1.6154,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.3577,                 1.4051,                 1.3481,                 0.5792,                0.44278,                0.50014,                0.30479,                 1.5391,                 1.8996,                 1.6801,               0.001802,               0.001802,               0.001802
                     12,                 1.3476,                 1.3461,                 1.3437,                0.72404,                0.54545,                 0.6248,                0.42128,                 1.2685,                 1.3665,                 1.3824,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.3725,                 1.3588,                  1.339,                0.74869,                0.55944,                0.69792,                0.47341,                 1.1633,                  1.206,                 1.3407,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.3145,                 1.2974,                 1.3028,                0.73916,                0.56643,                0.65778,                0.44573,                 1.1943,                 1.4267,                 1.3583,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.2927,                 1.2863,                 1.3019,                0.59886,                0.58464,                0.62363,                0.43548,                 1.2423,                 1.3528,                 1.3924,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.2735,                 1.2385,                 1.2726,                0.73042,                0.59441,                0.69123,                0.47929,                 1.2431,                 1.2026,                 1.3746,               0.001703,               0.001703,               0.001703
                     17,                 1.2329,                  1.236,                 1.2605,                0.68706,                0.66019,                 0.6925,                0.47296,                 1.1474,                 1.3278,                 1.3133,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.2165,                 1.1901,                 1.2481,                0.78899,                0.65373,                0.74817,                0.50465,                  1.158,                 1.0981,                 1.3365,              0.0016634,              0.0016634,              0.0016634
                     19,                  1.232,                 1.1818,                 1.2418,                0.72554,                 0.6655,                0.73362,                0.51667,                 1.0911,                  1.077,                 1.2431,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.2029,                 1.1549,                 1.2329,                0.75314,                0.66141,                0.76977,                0.56629,                0.99516,                 1.0209,                 1.2044,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.1866,                   1.13,                 1.2265,                0.69096,                0.60978,                0.69627,                0.52368,                 1.0723,                 1.1695,                 1.2387,               0.001604,               0.001604,               0.001604
                     22,                 1.1547,                   1.13,                 1.2265,                0.70841,                0.72727,                0.79006,                0.57576,                 1.0465,                 1.0362,                 1.2369,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.1353,                 1.0809,                 1.2075,                0.84154,                0.59422,                0.78334,                0.57279,                 1.0069,                 1.0767,                 1.1715,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.0902,                 1.0428,                 1.1934,                0.83314,                0.66434,                0.77282,                0.58062,                 1.0297,                 1.0172,                 1.2221,              0.0015446,              0.0015446,              0.0015446
                     25,                  1.071,                 1.0498,                  1.196,                0.62015,                0.76224,                0.74149,                0.54704,                 1.1141,                 1.0594,                   1.26,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.1553,                 1.0798,                 1.1846,                0.80648,                0.73427,                0.83232,                0.63055,                0.99023,                0.93085,                 1.1974,               0.001505,               0.001505,               0.001505
                     27,                 1.1486,                 1.0888,                 1.1959,                0.81114,                0.81818,                0.86039,                0.65343,                0.90342,                0.85903,                 1.1836,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.0932,                0.99965,                 1.1705,                0.78438,                0.76317,                0.82063,                0.64029,                0.88945,                0.85672,                 1.1142,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.0546,                0.98821,                 1.1472,                0.89302,                0.76923,                0.87197,                0.67456,                0.85065,                0.80689,                 1.1044,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.0619,                 0.9591,                 1.1619,                0.73101,                0.82517,                0.83879,                0.63286,                0.90054,                0.86196,                 1.1212,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.0522,                0.96444,                 1.1633,                0.84558,                 0.7972,                0.87376,                0.67879,                0.79966,                 0.8308,                 1.0897,               0.001406,               0.001406,               0.001406
                     32,                 1.0612,                0.98948,                 1.1494,                0.76346,                0.65035,                0.73848,                0.55793,                 0.9433,                 1.0498,                 1.1575,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.0494,                0.95391,                 1.1523,                0.80754,                0.69231,                0.77583,                0.59673,                0.98128,                0.97581,                 1.1608,              0.0013664,              0.0013664,              0.0013664
                     34,                0.99377,                 0.9361,                  1.138,                 0.8158,                0.83624,                0.88176,                 0.6852,                0.83803,                 0.7355,                 1.0765,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.0378,                0.93768,                  1.154,                0.86733,                0.78322,                0.85984,                0.65987,                0.91101,                0.77445,                 1.1196,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.0438,                0.92966,                 1.1504,                0.83491,                0.79021,                0.86181,                0.68384,                0.81726,                0.74994,                 1.0825,               0.001307,               0.001307,               0.001307
                     37,                 1.0305,                0.91784,                 1.1356,                0.87428,                0.68085,                0.82971,                 0.6659,                0.81901,                0.83184,                 1.0598,              0.0012872,              0.0012872,              0.0012872
                     38,                0.99941,                0.92226,                 1.1338,                0.85678,                0.79021,                0.87483,                0.67978,                0.83525,                0.73119,                 1.0753,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.0186,                0.90185,                 1.1219,                0.84966,                 0.7972,                0.87121,                0.68461,                0.80383,                 0.7318,                 1.0574,              0.0012476,              0.0012476,              0.0012476
                     40,                0.98091,                0.86188,                  1.105,                0.76106,                 0.7972,                0.83562,                0.66829,                0.82719,                0.78166,                 1.0634,              0.0012278,              0.0012278,              0.0012278
