                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9535,                  2.773,                 1.8631,                0.74023,                0.12501,                0.36827,                0.20708,                 1.3647,                 2.4663,                 1.3968,                0.00024,                0.00024,                0.00024
                      2,                 1.5274,                 1.8639,                 1.4888,                0.62727,                0.14024,                0.36094,                0.17683,                 1.5822,                  2.276,                 1.5265,             0.00049505,             0.00049505,             0.00049505
                      3,                 1.3959,                 1.5921,                 1.3919,                0.31687,                0.20175,                0.15231,                0.04795,                 2.4726,                  2.982,                 3.0206,             0.00074495,             0.00074495,             0.00074495
                      4,                 1.4919,                 1.7044,                 1.4759,                0.22005,                0.44547,                0.22166,                0.09692,                 1.9235,                 2.1856,                 1.8074,             0.00098971,             0.00098971,             0.00098971
                      5,                 1.4449,                 1.6111,                 1.4134,                0.39784,                0.28509,                0.28546,                0.12765,                 1.8686,                 2.2462,                 1.9967,              0.0012293,              0.0012293,              0.0012293
                      6,                 1.4023,                 1.5312,                 1.4274,                 0.4094,                0.41228,                0.37211,                0.20733,                 1.4505,                  2.993,                 1.6023,              0.0014638,              0.0014638,              0.0014638
                      7,                 1.4114,                 1.4987,                 1.4053,                0.34512,                0.34649,                0.27452,                0.12794,                 2.0516,                 6.2215,                 2.1896,              0.0016931,              0.0016931,              0.0016931
                      8,                   1.46,                 1.5214,                 1.4278,                0.37383,                0.34825,                0.31414,                0.13905,                 2.0579,                 3.7227,                 2.2485,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.4431,                 1.5302,                 1.4308,                0.44036,                0.43421,                0.36015,                  0.144,                 2.2147,                 3.0053,                 2.4184,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.5165,                 1.5542,                 1.4655,                0.36471,                0.32018,                0.25925,                0.12079,                 2.1257,                 2.4682,                 2.1494,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.4314,                 1.4755,                 1.4131,                0.38594,                    0.5,                0.41793,                0.21513,                 1.7304,                 3.1376,                 1.7943,               0.001802,               0.001802,               0.001802
                     12,                 1.3704,                 1.4069,                 1.3792,                0.32657,                0.29386,                0.19716,                0.08769,                 2.1152,                  2.613,                 1.9514,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.3794,                 1.4291,                 1.3685,                 0.7185,                0.47368,                0.56598,                 0.3259,                 1.4812,                 2.2302,                 1.5107,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.3552,                 1.3969,                 1.4019,                0.64094,                0.57936,                0.61801,                 0.3693,                 1.3287,                 1.9051,                 1.3798,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.3248,                 1.3424,                 1.3645,                0.57038,                0.44838,                0.48013,                0.26567,                 1.7912,                 2.5146,                 1.7978,              0.0017228,              0.0017228,              0.0017228
                     16,                  1.316,                 1.2892,                 1.3117,                0.68814,                0.64912,                 0.7168,                0.43774,                 1.3317,                 1.1355,                 1.3167,               0.001703,               0.001703,               0.001703
                     17,                 1.3033,                 1.2678,                 1.3324,                0.73612,                0.69739,                0.74503,                0.45886,                 1.2368,                 1.1033,                 1.2709,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.3024,                 1.3019,                  1.356,                0.76928,                0.66667,                0.74539,                0.46462,                 1.2744,                 1.1121,                 1.3355,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.2917,                 1.2353,                 1.3189,                0.70389,                0.72368,                0.78634,                0.47883,                 1.2539,                 1.0488,                 1.2658,              0.0016436,              0.0016436,              0.0016436
                     20,                  1.277,                 1.2267,                 1.3175,                0.74481,                0.70175,                0.73555,                0.45715,                 1.2919,                 1.2124,                 1.2793,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.2626,                 1.1908,                 1.3035,                 0.8365,                0.71053,                0.82786,                0.54858,                  1.136,                0.92447,                 1.2009,               0.001604,               0.001604,               0.001604
                     22,                  1.289,                   1.18,                 1.3004,                0.74591,                 0.6886,                0.75534,                0.51203,                 1.2047,                 1.0822,                 1.1986,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.2458,                  1.182,                 1.2867,                0.59201,                0.50278,                0.53816,                0.33013,                 1.5716,                 2.0742,                 1.5997,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.2768,                 1.1888,                 1.3087,                0.76136,                0.66228,                0.74383,                0.48129,                 1.2237,                 1.0741,                 1.2612,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.2164,                 1.1462,                 1.2724,                0.81939,                0.71635,                0.79983,                0.51374,                 1.2147,                 1.0372,                 1.2539,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.2176,                 1.1762,                 1.2659,                0.80725,                0.74561,                0.80905,                0.52131,                 1.1457,                0.90897,                 1.1677,               0.001505,               0.001505,               0.001505
                     27,                 1.2121,                 1.1301,                 1.2529,                0.83291,                0.76522,                0.85278,                0.59228,                  1.109,                0.83495,                 1.1366,              0.0014852,              0.0014852,              0.0014852
                     28,                  1.161,                 1.0929,                 1.2382,                0.82195,                0.78967,                 0.8552,                0.59869,                 1.0732,                0.82561,                 1.1446,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.1981,                 1.0964,                 1.2458,                0.89787,                0.77118,                 0.8769,                0.62577,                 1.0049,                0.82471,                 1.1235,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.1902,                  1.102,                 1.2465,                0.84684,                0.77604,                0.85524,                0.57541,                 1.1092,                0.92304,                 1.1799,              0.0014258,              0.0014258,              0.0014258
